ip,anonymityLevel,asn,country,isp,latency,org,port,protocols,responseTime,speed,updated_at,upTime,upTimeSuccessCount,upTimeTryCount
"24.7.10.171","elite","AS33651","US","Comcast Cable Communications, LLC","193","Comcast Cable Communications","2758","socks4","245","1","2023-12-03T11:42:54.766Z","58","2923","5041"
"103.120.202.53","elite","AS63526","BD","Carnival Internet","177","N/A","5678","socks4","1102","1","2023-12-03T11:42:53.717Z","95","4703","4926"
"45.65.229.19","elite","AS262617","BR","UWBR VOX Telecomunica??es S/A","297","MARGOTTO TELECOMUNICAÇÕES S/A","4145","socks4","1882","1","2023-12-03T11:42:52.025Z","96","4788","5001"
"49.229.32.173","elite","AS45458","TH","Advanced Wireless Network Company Limited","182","TMB by AWN","4153","socks4","2413","1","2023-12-03T11:42:52.811Z","11","541","4958"
"149.20.253.217","elite","AS18615","US","Mainstream Fiber Networks, LLC","140","Mainstream Fiber Networks, LLC","12551","socks4","638","1","2023-12-03T11:42:52.012Z","100","5021","5030"
"51.79.78.212","elite","AS16276","CA","OVH SAS","98","OVH Hosting, Inc.","35055","socks4","1400","1","2023-12-03T11:42:51.909Z","84","4115","4914"
"104.20.123.164","elite","AS13335","CA","Cloudflare, Inc.","2","Cloudflare, Inc.","80","socks5","2691","1","2023-12-03T11:42:50.224Z","100","4943","4945"
"190.96.97.170","elite","AS262223","EC","Necusoft Cia. Ltda.","168","N/A","5678","socks4","3195","1","2023-12-03T11:42:50.218Z","24","1216","5019"
"203.24.103.8","elite","AS209242","VG","Cloudflare London, LLC","97","Anaga Consulting Limited","80","socks4","3487","1","2023-12-03T11:42:49.820Z","100","4963","4964"
"103.79.96.225","elite","AS64308","ID","PT IndoDev Niaga Internet","190","PT IndoDev Niaga Internet","4153","socks4","4503","1","2023-12-03T11:42:49.626Z","100","5001","5013"
"14.207.3.159","elite","AS45629","TH","Triple T Broadband Public Company Limited","166","Triple T Broadband Public Company Limited","5678","socks4","5001","1","2023-12-03T11:42:49.620Z","93","4703","5050"
"197.254.7.86","elite","AS15808","KE","ACCESSKENYA","125","N/A","4145","socks4","2702","1","2023-12-03T11:42:49.719Z","97","4891","5059"
"218.1.200.244","elite","AS4812","CN","China Telecom","207","N/A","57114","socks5","1811","1","2023-12-03T11:42:49.118Z","49","2398","4923"
"157.230.225.87","elite","AS14061","US","DigitalOcean, LLC","82","DigitalOcean, LLC","42412","socks4","3405","1","2023-12-03T11:42:49.718Z","73","3663","5002"
"103.102.219.25","elite","AS137038","BD","Zubair IT Expert","196","zubairitexpert","44550","socks4","2003","1","2023-12-03T11:42:49.117Z","99","5009","5050"
"103.109.56.221","elite","AS138640","BD","HelloTech Limited","168","Hello Tech Limited","1080","socks4","3188","1","2023-12-03T11:42:48.210Z","73","3629","4961"
"91.232.105.99","elite","AS49981","NL","WorldStream B.V.","11","WorldStream B.V","30112","socks4","3295","1","2023-12-03T11:42:48.126Z","5","264","4927"
"61.7.138.171","elite","AS131090","TH","CAT Telecom Public Company Limited","204","National Telecom Public Company Limited","4145","socks4","4312","1","2023-12-03T11:42:47.916Z","74","3721","5025"
"194.48.151.217","elite","AS204396","ES","OLVERA CA.T.V., S. COOP. AND.","183","OLVERA CA.T.V., S. COOP","5678","socks4","4609","1","2023-12-03T11:42:47.914Z","70","3513","5052"
"194.116.72.46","elite","AS41364","IT","Consorzio TOP IX - Torino E Piemonte Exchange Point CC","14","Consorzio Topix - Torino e Piemonte Exchange Point","7497","socks5","4809","1","2023-12-03T11:42:47.913Z","100","5004","5005"
"202.159.30.129","elite","AS9340","ID","PT IndoInternet","182","N/A","443","socks4","595","1","2023-12-03T11:42:46.627Z","99","4946","4991"
"2.197.124.172","elite","AS16232","IT","Telecom Italia Mobile","90","N/A","4153","socks4","5002","1","2023-12-03T11:42:45.714Z","97","4761","4901"
"79.141.160.2","elite","AS202015","US","HZ Hosting Ltd","98","HZ Na21","48462","socks5","5297","1","2023-12-03T11:42:45.910Z","95","4746","5000"
"110.78.149.65","elite","AS131090","TH","CAT-BB","246","N/A","4145","socks4","4914","1","2023-12-03T11:42:45.809Z","81","4053","4978"
"110.78.149.186","elite","AS131090","TH","CAT-BB","241","N/A","4145","socks4","3884","1","2023-12-03T11:42:45.721Z","70","3485","4953"
"164.132.149.110","elite","AS16276","FR","OVH SAS","5","OVH","1088","socks4","1197","1","2023-12-03T11:42:45.912Z","75","3776","5055"
"103.58.74.2","elite","AS134204","BD","BUSINESSNETWORK","199","N/A","8080","socks4","4603","1","2023-12-03T11:42:45.716Z","96","4879","5064"
